DeviceId,Platform,Encryption,AuthenticationMethod,OSVersion,RootOrJailbreak,BitLocker,SecureBoot,TPM,DefenderAV,ComplianceStatusBefore,ComplianceStatusAfter
IOS-060,iOS,Yes (AES),Alphanumeric (6),17.0,Clean,,,,,Noncompliant,Compliant
IOS-061,iOS,Yes (AES),Biometric + Passcode,16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-062,iOS,Yes (AES),Simple 4-digit PIN,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-063,iOS,No,Simple 4-digit PIN,17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-064,iOS,No,Alphanumeric (6),15.4,Jailbroken,,,,,Compliant,Compliant
IOS-065,iOS,Yes (AES),Biometric + Passcode,16.0,Clean,,,,,Compliant,Compliant
IOS-066,iOS,Yes (AES),Alphanumeric (6),17.0,Clean,,,,,Compliant,Compliant
IOS-067,iOS,Yes (AES),Alphanumeric (6),17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-068,iOS,No,Alphanumeric (6),16.1,Jailbroken,,,,,Compliant,Compliant
IOS-069,iOS,Yes (AES),Simple 4-digit PIN,15.6,Clean,,,,,Compliant,Compliant
IOS-070,iOS,No,Biometric + Passcode,16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-071,iOS,Yes (AES),Alphanumeric (6),17.0,Clean,,,,,Noncompliant,Compliant
IOS-072,iOS,No,Simple 4-digit PIN,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-073,iOS,No,Alphanumeric (6),16.0,Jailbroken,,,,,Compliant,Compliant
IOS-074,iOS,Yes (AES),Biometric + Passcode,15.6,Clean,,,,,Compliant,Compliant
IOS-075,iOS,No,Alphanumeric (6),16.1,Clean,,,,,Compliant,Compliant
IOS-076,iOS,No,Simple 4-digit PIN,17.0,Clean,,,,,Compliant,Compliant
IOS-077,iOS,Yes (AES),Simple 4-digit PIN,16.1,Clean,,,,,Noncompliant,Compliant
IOS-078,iOS,Yes (AES),Biometric + Passcode,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-079,iOS,No,Biometric + Passcode,17.0,Clean,,,,,Noncompliant,Compliant
IOS-080,iOS,Yes (AES),Alphanumeric (6),15.6,Jailbroken,,,,,Compliant,Compliant
IOS-081,iOS,Yes (AES),Simple 4-digit PIN,17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-082,iOS,Yes (AES),Alphanumeric (6),15.6,Jailbroken,,,,,Compliant,Compliant
IOS-083,iOS,Yes (AES),Alphanumeric (6),16.1,Clean,,,,,Noncompliant,Compliant
IOS-084,iOS,Yes (AES),Simple 4-digit PIN,17.0,Clean,,,,,Noncompliant,Compliant
IOS-085,iOS,No,Biometric + Passcode,15.4,Jailbroken,,,,,Compliant,Compliant
IOS-086,iOS,No,Simple 4-digit PIN,15.6,Jailbroken,,,,,Compliant,Compliant
IOS-087,iOS,Yes (AES),Simple 4-digit PIN,15.4,Clean,,,,,Compliant,Compliant
IOS-088,iOS,No,Biometric + Passcode,17.0,Jailbroken,,,,,Compliant,Compliant
IOS-089,iOS,No,Simple 4-digit PIN,15.6,Clean,,,,,Noncompliant,Compliant
IOS-090,iOS,Yes (AES),Simple 4-digit PIN,15.4,Clean,,,,,Noncompliant,Compliant
IOS-091,iOS,Yes (AES),Biometric + Passcode,16.0,Clean,,,,,Noncompliant,Compliant
IOS-092,iOS,No,Biometric + Passcode,16.1,Clean,,,,,Noncompliant,Compliant
IOS-093,iOS,No,Biometric + Passcode,16.1,Jailbroken,,,,,Compliant,Compliant
IOS-094,iOS,No,Biometric + Passcode,15.6,Jailbroken,,,,,Noncompliant,Compliant
IOS-095,iOS,No,Simple 4-digit PIN,17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-096,iOS,No,Biometric + Passcode,15.6,Clean,,,,,Compliant,Compliant
IOS-097,iOS,No,Simple 4-digit PIN,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-098,iOS,No,Biometric + Passcode,15.6,Clean,,,,,Compliant,Compliant
IOS-099,iOS,No,Simple 4-digit PIN,17.0,Clean,,,,,Noncompliant,Compliant
IOS-100,iOS,No,Biometric + Passcode,16.0,Clean,,,,,Noncompliant,Compliant
IOS-101,iOS,No,Simple 4-digit PIN,15.6,Clean,,,,,Noncompliant,Compliant
IOS-102,iOS,No,Biometric + Passcode,15.6,Jailbroken,,,,,Noncompliant,Compliant
IOS-103,iOS,Yes (AES),Alphanumeric (6),15.6,Clean,,,,,Noncompliant,Compliant
IOS-104,iOS,No,Biometric + Passcode,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-105,iOS,Yes (AES),Biometric + Passcode,17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-106,iOS,No,Alphanumeric (6),16.1,Clean,,,,,Compliant,Compliant
IOS-107,iOS,Yes (AES),Simple 4-digit PIN,16.1,Jailbroken,,,,,Compliant,Compliant
IOS-108,iOS,Yes (AES),Biometric + Passcode,17.0,Jailbroken,,,,,Compliant,Compliant
IOS-109,iOS,Yes (AES),Biometric + Passcode,17.0,Clean,,,,,Noncompliant,Compliant
IOS-110,iOS,No,Alphanumeric (6),15.4,Clean,,,,,Noncompliant,Compliant
IOS-111,iOS,No,Simple 4-digit PIN,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-112,iOS,No,Simple 4-digit PIN,17.0,Clean,,,,,Compliant,Compliant
IOS-113,iOS,No,Alphanumeric (6),16.1,Clean,,,,,Compliant,Compliant
IOS-114,iOS,Yes (AES),Alphanumeric (6),17.0,Clean,,,,,Compliant,Compliant
IOS-115,iOS,Yes (AES),Simple 4-digit PIN,15.4,Clean,,,,,Noncompliant,Compliant
IOS-116,iOS,No,Biometric + Passcode,16.1,Clean,,,,,Noncompliant,Compliant
IOS-117,iOS,Yes (AES),Alphanumeric (6),17.0,Clean,,,,,Compliant,Compliant
IOS-118,iOS,No,Simple 4-digit PIN,17.0,Clean,,,,,Noncompliant,Compliant
IOS-119,iOS,Yes (AES),Simple 4-digit PIN,15.6,Clean,,,,,Noncompliant,Compliant
IOS-120,iOS,No,Alphanumeric (6),15.6,Clean,,,,,Compliant,Compliant
IOS-121,iOS,No,Alphanumeric (6),17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-122,iOS,No,Alphanumeric (6),16.0,Clean,,,,,Noncompliant,Compliant
IOS-123,iOS,Yes (AES),Simple 4-digit PIN,16.1,Jailbroken,,,,,Compliant,Compliant
IOS-124,iOS,No,Simple 4-digit PIN,17.0,Clean,,,,,Noncompliant,Compliant
IOS-125,iOS,Yes (AES),Alphanumeric (6),17.0,Jailbroken,,,,,Compliant,Compliant
IOS-126,iOS,No,Alphanumeric (6),16.1,Clean,,,,,Noncompliant,Compliant
IOS-127,iOS,Yes (AES),Alphanumeric (6),15.6,Jailbroken,,,,,Compliant,Compliant
IOS-128,iOS,No,Biometric + Passcode,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-129,iOS,No,Biometric + Passcode,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-130,iOS,Yes (AES),Simple 4-digit PIN,16.0,Clean,,,,,Compliant,Compliant
IOS-131,iOS,No,Simple 4-digit PIN,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-132,iOS,No,Biometric + Passcode,16.1,Clean,,,,,Noncompliant,Compliant
IOS-133,iOS,Yes (AES),Simple 4-digit PIN,15.4,Clean,,,,,Noncompliant,Compliant
IOS-134,iOS,No,Alphanumeric (6),15.4,Jailbroken,,,,,Compliant,Compliant
IOS-135,iOS,Yes (AES),Simple 4-digit PIN,15.4,Clean,,,,,Noncompliant,Compliant
IOS-136,iOS,No,Simple 4-digit PIN,17.0,Clean,,,,,Compliant,Compliant
IOS-137,iOS,Yes (AES),Biometric + Passcode,15.6,Jailbroken,,,,,Compliant,Compliant
IOS-138,iOS,No,Alphanumeric (6),16.0,Clean,,,,,Compliant,Compliant
IOS-139,iOS,No,Simple 4-digit PIN,15.4,Jailbroken,,,,,Compliant,Compliant
IOS-140,iOS,No,Simple 4-digit PIN,16.0,Jailbroken,,,,,Compliant,Compliant
IOS-141,iOS,Yes (AES),Biometric + Passcode,15.4,Clean,,,,,Noncompliant,Compliant
IOS-142,iOS,No,Simple 4-digit PIN,16.0,Clean,,,,,Noncompliant,Compliant
IOS-143,iOS,No,Alphanumeric (6),15.4,Clean,,,,,Noncompliant,Compliant
IOS-144,iOS,Yes (AES),Simple 4-digit PIN,15.6,Clean,,,,,Compliant,Compliant
IOS-145,iOS,No,Simple 4-digit PIN,16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-146,iOS,Yes (AES),Alphanumeric (6),16.1,Jailbroken,,,,,Compliant,Compliant
IOS-147,iOS,Yes (AES),Biometric + Passcode,17.0,Jailbroken,,,,,Compliant,Compliant
IOS-148,iOS,Yes (AES),Alphanumeric (6),17.0,Clean,,,,,Noncompliant,Compliant
IOS-149,iOS,No,Biometric + Passcode,16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-150,iOS,Yes (AES),Simple 4-digit PIN,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-151,iOS,Yes (AES),Simple 4-digit PIN,15.6,Clean,,,,,Compliant,Compliant
IOS-152,iOS,Yes (AES),Alphanumeric (6),17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-153,iOS,No,Simple 4-digit PIN,16.1,Jailbroken,,,,,Compliant,Compliant
IOS-154,iOS,Yes (AES),Biometric + Passcode,17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-155,iOS,No,Alphanumeric (6),15.6,Clean,,,,,Noncompliant,Compliant
IOS-156,iOS,No,Alphanumeric (6),16.1,Jailbroken,,,,,Compliant,Compliant
IOS-157,iOS,No,Biometric + Passcode,17.0,Clean,,,,,Compliant,Compliant
IOS-158,iOS,Yes (AES),Alphanumeric (6),15.4,Jailbroken,,,,,Compliant,Compliant
IOS-159,iOS,Yes (AES),Biometric + Passcode,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-160,iOS,No,Alphanumeric (6),16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-161,iOS,No,Biometric + Passcode,17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-162,iOS,No,Simple 4-digit PIN,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-163,iOS,Yes (AES),Biometric + Passcode,17.0,Clean,,,,,Compliant,Compliant
IOS-164,iOS,No,Biometric + Passcode,16.0,Clean,,,,,Compliant,Compliant
IOS-165,iOS,No,Simple 4-digit PIN,15.4,Clean,,,,,Compliant,Compliant
IOS-166,iOS,No,Simple 4-digit PIN,16.1,Clean,,,,,Noncompliant,Compliant
IOS-167,iOS,No,Biometric + Passcode,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-168,iOS,Yes (AES),Biometric + Passcode,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-169,iOS,Yes (AES),Simple 4-digit PIN,16.1,Clean,,,,,Noncompliant,Compliant
IOS-170,iOS,Yes (AES),Biometric + Passcode,17.0,Clean,,,,,Compliant,Compliant
IOS-171,iOS,No,Simple 4-digit PIN,17.0,Clean,,,,,Noncompliant,Compliant
IOS-172,iOS,No,Biometric + Passcode,15.6,Jailbroken,,,,,Noncompliant,Compliant
IOS-173,iOS,Yes (AES),Alphanumeric (6),16.0,Clean,,,,,Noncompliant,Compliant
IOS-174,iOS,Yes (AES),Alphanumeric (6),15.4,Clean,,,,,Compliant,Compliant
IOS-175,iOS,Yes (AES),Alphanumeric (6),16.1,Clean,,,,,Noncompliant,Compliant
IOS-176,iOS,Yes (AES),Simple 4-digit PIN,17.0,Jailbroken,,,,,Compliant,Compliant
IOS-177,iOS,No,Biometric + Passcode,16.0,Jailbroken,,,,,Compliant,Compliant
IOS-178,iOS,No,Biometric + Passcode,15.6,Jailbroken,,,,,Compliant,Compliant
IOS-179,iOS,Yes (AES),Alphanumeric (6),17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-180,iOS,No,Biometric + Passcode,16.1,Clean,,,,,Compliant,Compliant
IOS-181,iOS,No,Alphanumeric (6),16.1,Jailbroken,,,,,Compliant,Compliant
IOS-182,iOS,No,Biometric + Passcode,15.4,Clean,,,,,Compliant,Compliant
IOS-183,iOS,Yes (AES),Simple 4-digit PIN,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-184,iOS,Yes (AES),Simple 4-digit PIN,15.4,Clean,,,,,Compliant,Compliant
IOS-185,iOS,Yes (AES),Biometric + Passcode,17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-186,iOS,No,Alphanumeric (6),15.6,Jailbroken,,,,,Compliant,Compliant
IOS-187,iOS,No,Biometric + Passcode,17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-188,iOS,No,Simple 4-digit PIN,16.1,Jailbroken,,,,,Compliant,Compliant
IOS-189,iOS,Yes (AES),Alphanumeric (6),16.1,Jailbroken,,,,,Compliant,Compliant
IOS-190,iOS,No,Biometric + Passcode,16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-191,iOS,Yes (AES),Alphanumeric (6),17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-192,iOS,Yes (AES),Biometric + Passcode,15.4,Clean,,,,,Noncompliant,Compliant
IOS-193,iOS,No,Alphanumeric (6),15.4,Jailbroken,,,,,Compliant,Compliant
IOS-194,iOS,No,Simple 4-digit PIN,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-195,iOS,No,Biometric + Passcode,16.0,Clean,,,,,Noncompliant,Compliant
IOS-196,iOS,No,Alphanumeric (6),15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-197,iOS,Yes (AES),Biometric + Passcode,16.1,Clean,,,,,Compliant,Compliant
IOS-198,iOS,Yes (AES),Simple 4-digit PIN,17.0,Clean,,,,,Compliant,Compliant
IOS-199,iOS,Yes (AES),Simple 4-digit PIN,15.4,Jailbroken,,,,,Compliant,Compliant
IOS-200,iOS,Yes (AES),Biometric + Passcode,15.6,Clean,,,,,Noncompliant,Compliant
IOS-201,iOS,Yes (AES),Biometric + Passcode,15.6,Jailbroken,,,,,Noncompliant,Compliant
IOS-202,iOS,Yes (AES),Simple 4-digit PIN,16.1,Clean,,,,,Compliant,Compliant
IOS-203,iOS,Yes (AES),Biometric + Passcode,16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-204,iOS,Yes (AES),Simple 4-digit PIN,17.0,Clean,,,,,Noncompliant,Compliant
IOS-205,iOS,Yes (AES),Alphanumeric (6),15.4,Jailbroken,,,,,Compliant,Compliant
IOS-206,iOS,Yes (AES),Biometric + Passcode,15.4,Clean,,,,,Noncompliant,Compliant
IOS-207,iOS,Yes (AES),Simple 4-digit PIN,17.0,Clean,,,,,Compliant,Compliant
IOS-208,iOS,Yes (AES),Simple 4-digit PIN,16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-209,iOS,No,Alphanumeric (6),15.6,Clean,,,,,Noncompliant,Compliant
IOS-210,iOS,Yes (AES),Alphanumeric (6),16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-211,iOS,Yes (AES),Simple 4-digit PIN,16.1,Clean,,,,,Noncompliant,Compliant
IOS-212,iOS,No,Biometric + Passcode,16.0,Jailbroken,,,,,Compliant,Compliant
IOS-213,iOS,No,Alphanumeric (6),15.4,Clean,,,,,Compliant,Compliant
IOS-214,iOS,No,Biometric + Passcode,17.0,Jailbroken,,,,,Compliant,Compliant
IOS-215,iOS,No,Simple 4-digit PIN,16.1,Clean,,,,,Compliant,Compliant
IOS-216,iOS,Yes (AES),Simple 4-digit PIN,15.4,Jailbroken,,,,,Compliant,Compliant
IOS-217,iOS,Yes (AES),Alphanumeric (6),17.0,Clean,,,,,Noncompliant,Compliant
IOS-218,iOS,Yes (AES),Simple 4-digit PIN,16.0,Jailbroken,,,,,Compliant,Compliant
IOS-219,iOS,Yes (AES),Simple 4-digit PIN,16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-220,iOS,No,Biometric + Passcode,15.4,Clean,,,,,Compliant,Compliant
IOS-221,iOS,No,Biometric + Passcode,15.4,Jailbroken,,,,,Compliant,Compliant
IOS-222,iOS,Yes (AES),Biometric + Passcode,17.0,Clean,,,,,Compliant,Compliant
IOS-223,iOS,No,Biometric + Passcode,16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-224,iOS,Yes (AES),Alphanumeric (6),16.0,Clean,,,,,Compliant,Compliant
IOS-225,iOS,Yes (AES),Alphanumeric (6),16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-226,iOS,Yes (AES),Simple 4-digit PIN,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-227,iOS,No,Alphanumeric (6),15.6,Clean,,,,,Compliant,Compliant
IOS-228,iOS,Yes (AES),Simple 4-digit PIN,16.1,Clean,,,,,Noncompliant,Compliant
IOS-229,iOS,Yes (AES),Simple 4-digit PIN,15.6,Clean,,,,,Noncompliant,Compliant
IOS-230,iOS,No,Alphanumeric (6),17.0,Clean,,,,,Noncompliant,Compliant
IOS-231,iOS,No,Biometric + Passcode,15.6,Clean,,,,,Compliant,Compliant
IOS-232,iOS,Yes (AES),Biometric + Passcode,15.6,Jailbroken,,,,,Noncompliant,Compliant
IOS-233,iOS,No,Simple 4-digit PIN,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-234,iOS,No,Simple 4-digit PIN,16.1,Jailbroken,,,,,Compliant,Compliant
IOS-235,iOS,No,Alphanumeric (6),17.0,Jailbroken,,,,,Compliant,Compliant
IOS-236,iOS,Yes (AES),Biometric + Passcode,16.1,Jailbroken,,,,,Compliant,Compliant
IOS-237,iOS,No,Biometric + Passcode,17.0,Jailbroken,,,,,Compliant,Compliant
IOS-238,iOS,Yes (AES),Simple 4-digit PIN,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-239,iOS,Yes (AES),Simple 4-digit PIN,17.0,Clean,,,,,Noncompliant,Compliant
IOS-240,iOS,Yes (AES),Biometric + Passcode,15.6,Clean,,,,,Noncompliant,Compliant
IOS-241,iOS,Yes (AES),Simple 4-digit PIN,16.0,Clean,,,,,Noncompliant,Compliant
IOS-242,iOS,Yes (AES),Simple 4-digit PIN,15.4,Clean,,,,,Noncompliant,Compliant
IOS-243,iOS,No,Alphanumeric (6),17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-244,iOS,No,Alphanumeric (6),16.1,Clean,,,,,Compliant,Compliant
IOS-245,iOS,Yes (AES),Alphanumeric (6),16.0,Clean,,,,,Compliant,Compliant
IOS-246,iOS,No,Alphanumeric (6),16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-247,iOS,No,Simple 4-digit PIN,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-248,iOS,No,Simple 4-digit PIN,17.0,Clean,,,,,Noncompliant,Compliant
IOS-249,iOS,No,Alphanumeric (6),16.1,Clean,,,,,Noncompliant,Compliant
IOS-250,iOS,No,Alphanumeric (6),15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-251,iOS,Yes (AES),Simple 4-digit PIN,16.1,Clean,,,,,Compliant,Compliant
IOS-252,iOS,No,Alphanumeric (6),17.0,Jailbroken,,,,,Compliant,Compliant
IOS-253,iOS,Yes (AES),Biometric + Passcode,15.6,Clean,,,,,Compliant,Compliant
IOS-254,iOS,Yes (AES),Alphanumeric (6),17.0,Clean,,,,,Compliant,Compliant
IOS-255,iOS,Yes (AES),Biometric + Passcode,16.1,Clean,,,,,Noncompliant,Compliant
IOS-256,iOS,Yes (AES),Biometric + Passcode,15.6,Jailbroken,,,,,Compliant,Compliant
IOS-257,iOS,Yes (AES),Biometric + Passcode,17.0,Clean,,,,,Compliant,Compliant
IOS-258,iOS,No,Biometric + Passcode,16.0,Clean,,,,,Noncompliant,Compliant
IOS-259,iOS,No,Simple 4-digit PIN,16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-260,iOS,Yes (AES),Alphanumeric (6),15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-261,iOS,No,Simple 4-digit PIN,17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-262,iOS,No,Simple 4-digit PIN,17.0,Clean,,,,,Noncompliant,Compliant
IOS-263,iOS,Yes (AES),Alphanumeric (6),17.0,Clean,,,,,Compliant,Compliant
IOS-264,iOS,Yes (AES),Biometric + Passcode,15.6,Clean,,,,,Compliant,Compliant
IOS-265,iOS,Yes (AES),Simple 4-digit PIN,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-266,iOS,No,Simple 4-digit PIN,15.6,Clean,,,,,Noncompliant,Compliant
IOS-267,iOS,Yes (AES),Simple 4-digit PIN,17.0,Clean,,,,,Compliant,Compliant
IOS-268,iOS,Yes (AES),Biometric + Passcode,15.6,Clean,,,,,Compliant,Compliant
IOS-269,iOS,No,Biometric + Passcode,15.6,Jailbroken,,,,,Noncompliant,Compliant
IOS-270,iOS,No,Alphanumeric (6),15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-271,iOS,No,Simple 4-digit PIN,15.6,Clean,,,,,Compliant,Compliant
IOS-272,iOS,Yes (AES),Biometric + Passcode,15.6,Jailbroken,,,,,Compliant,Compliant
IOS-273,iOS,No,Biometric + Passcode,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-274,iOS,Yes (AES),Alphanumeric (6),16.1,Clean,,,,,Compliant,Compliant
IOS-275,iOS,Yes (AES),Alphanumeric (6),16.1,Clean,,,,,Noncompliant,Compliant
IOS-276,iOS,No,Alphanumeric (6),15.6,Jailbroken,,,,,Compliant,Compliant
IOS-277,iOS,Yes (AES),Alphanumeric (6),15.4,Jailbroken,,,,,Compliant,Compliant
IOS-278,iOS,No,Simple 4-digit PIN,15.6,Jailbroken,,,,,Compliant,Compliant
IOS-279,iOS,No,Alphanumeric (6),16.1,Clean,,,,,Compliant,Compliant
IOS-280,iOS,Yes (AES),Simple 4-digit PIN,15.6,Clean,,,,,Noncompliant,Compliant
IOS-281,iOS,Yes (AES),Simple 4-digit PIN,16.0,Clean,,,,,Compliant,Compliant
IOS-282,iOS,Yes (AES),Biometric + Passcode,17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-283,iOS,Yes (AES),Biometric + Passcode,16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-284,iOS,No,Alphanumeric (6),16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-285,iOS,No,Alphanumeric (6),17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-286,iOS,No,Simple 4-digit PIN,15.6,Jailbroken,,,,,Noncompliant,Compliant
IOS-287,iOS,Yes (AES),Biometric + Passcode,17.0,Jailbroken,,,,,Compliant,Compliant
IOS-288,iOS,Yes (AES),Simple 4-digit PIN,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-289,iOS,Yes (AES),Alphanumeric (6),16.0,Clean,,,,,Noncompliant,Compliant
IOS-290,iOS,Yes (AES),Alphanumeric (6),16.1,Clean,,,,,Noncompliant,Compliant
IOS-291,iOS,Yes (AES),Simple 4-digit PIN,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-292,iOS,No,Alphanumeric (6),17.0,Clean,,,,,Compliant,Compliant
IOS-293,iOS,Yes (AES),Alphanumeric (6),15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-294,iOS,No,Biometric + Passcode,15.6,Jailbroken,,,,,Compliant,Compliant
IOS-295,iOS,Yes (AES),Biometric + Passcode,16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-296,iOS,No,Simple 4-digit PIN,15.6,Jailbroken,,,,,Compliant,Compliant
IOS-297,iOS,No,Biometric + Passcode,15.6,Jailbroken,,,,,Noncompliant,Compliant
IOS-298,iOS,No,Alphanumeric (6),15.6,Clean,,,,,Noncompliant,Compliant
IOS-299,iOS,Yes (AES),Simple 4-digit PIN,16.1,Clean,,,,,Noncompliant,Compliant
IOS-300,iOS,No,Alphanumeric (6),15.6,Clean,,,,,Compliant,Compliant
IOS-301,iOS,Yes (AES),Simple 4-digit PIN,16.1,Clean,,,,,Compliant,Compliant
IOS-302,iOS,No,Simple 4-digit PIN,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-303,iOS,No,Alphanumeric (6),16.1,Clean,,,,,Compliant,Compliant
IOS-304,iOS,No,Simple 4-digit PIN,16.1,Jailbroken,,,,,Compliant,Compliant
IOS-305,iOS,Yes (AES),Simple 4-digit PIN,15.4,Jailbroken,,,,,Compliant,Compliant
IOS-306,iOS,No,Simple 4-digit PIN,15.6,Clean,,,,,Noncompliant,Compliant
IOS-307,iOS,Yes (AES),Simple 4-digit PIN,15.4,Jailbroken,,,,,Compliant,Compliant
IOS-308,iOS,Yes (AES),Alphanumeric (6),15.4,Clean,,,,,Compliant,Compliant
IOS-309,iOS,No,Alphanumeric (6),16.0,Jailbroken,,,,,Compliant,Compliant
IOS-310,iOS,No,Alphanumeric (6),17.0,Clean,,,,,Noncompliant,Compliant
IOS-311,iOS,No,Alphanumeric (6),16.1,Jailbroken,,,,,Compliant,Compliant
IOS-312,iOS,Yes (AES),Alphanumeric (6),16.1,Clean,,,,,Noncompliant,Compliant
IOS-313,iOS,Yes (AES),Biometric + Passcode,16.1,Clean,,,,,Compliant,Compliant
IOS-314,iOS,Yes (AES),Alphanumeric (6),15.6,Clean,,,,,Compliant,Compliant
IOS-315,iOS,Yes (AES),Biometric + Passcode,15.4,Clean,,,,,Noncompliant,Compliant
IOS-316,iOS,Yes (AES),Simple 4-digit PIN,16.1,Jailbroken,,,,,Compliant,Compliant
IOS-317,iOS,No,Alphanumeric (6),17.0,Clean,,,,,Noncompliant,Compliant
IOS-318,iOS,No,Alphanumeric (6),16.0,Jailbroken,,,,,Compliant,Compliant
IOS-319,iOS,Yes (AES),Simple 4-digit PIN,16.0,Clean,,,,,Compliant,Compliant
IOS-320,iOS,Yes (AES),Simple 4-digit PIN,16.1,Clean,,,,,Noncompliant,Compliant
IOS-321,iOS,No,Alphanumeric (6),17.0,Clean,,,,,Noncompliant,Compliant
IOS-322,iOS,Yes (AES),Alphanumeric (6),16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-323,iOS,Yes (AES),Alphanumeric (6),16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-324,iOS,No,Simple 4-digit PIN,16.0,Jailbroken,,,,,Compliant,Compliant
IOS-325,iOS,Yes (AES),Biometric + Passcode,17.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-326,iOS,No,Alphanumeric (6),16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-327,iOS,No,Biometric + Passcode,15.6,Jailbroken,,,,,Noncompliant,Compliant
IOS-328,iOS,No,Simple 4-digit PIN,15.6,Clean,,,,,Compliant,Compliant
IOS-329,iOS,No,Alphanumeric (6),15.6,Jailbroken,,,,,Noncompliant,Compliant
IOS-330,iOS,No,Alphanumeric (6),16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-331,iOS,Yes (AES),Alphanumeric (6),16.0,Jailbroken,,,,,Compliant,Compliant
IOS-332,iOS,Yes (AES),Alphanumeric (6),16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-333,iOS,Yes (AES),Alphanumeric (6),15.4,Clean,,,,,Compliant,Compliant
IOS-334,iOS,No,Biometric + Passcode,15.4,Jailbroken,,,,,Noncompliant,Compliant
IOS-335,iOS,No,Biometric + Passcode,16.1,Jailbroken,,,,,Noncompliant,Compliant
IOS-336,iOS,No,Alphanumeric (6),16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-337,iOS,Yes (AES),Alphanumeric (6),16.0,Jailbroken,,,,,Noncompliant,Compliant
IOS-338,iOS,Yes (AES),Biometric + Passcode,15.4,Clean,,,,,Compliant,Compliant
